iter	Passed	Remaining
0	0	76
1	1	59
2	1	52
3	1	45
4	2	45
5	2	44
6	3	43
7	3	42
8	4	41
9	4	41
10	5	45
11	6	45
12	7	48
13	7	48
14	8	48
15	9	48
16	9	46
17	9	44
18	11	47
19	11	46
20	12	45
21	14	49
22	14	48
23	14	47
24	16	48
25	16	46
26	16	45
27	17	44
28	17	43
29	18	42
30	18	41
31	19	40
32	19	39
33	19	38
34	22	40
35	22	39
36	23	39
37	23	38
38	23	37
39	24	36
40	24	35
41	24	34
42	25	33
43	25	32
44	26	32
45	28	33
46	29	32
47	29	32
48	30	31
49	30	30
50	30	29
51	31	28
52	31	28
53	32	27
54	32	26
55	32	25
56	34	26
57	35	25
58	36	25
59	36	24
60	36	23
61	37	22
62	37	22
63	38	21
64	38	20
65	39	20
66	40	19
67	42	19
68	42	19
69	43	18
70	43	17
71	43	17
72	44	16
73	45	16
74	46	15
75	47	14
76	47	14
77	48	13
78	48	12
79	49	12
80	50	11
81	50	11
82	51	10
83	51	9
84	52	9
85	52	8
86	53	7
87	54	7
88	55	6
89	56	6
90	56	5
91	57	4
92	57	4
93	57	3
94	58	3
95	58	2
96	59	1
97	60	1
98	60	0
99	61	0
