iter	Passed	Remaining
0	61	61104
1	61	30811
2	62	20659
3	62	15581
4	63	12561
5	63	10531
6	64	9079
7	64	8003
8	67	7412
9	68	6746
10	68	6175
11	69	5694
12	69	5281
13	69	4929
14	70	4621
15	70	4352
16	71	4115
17	71	3906
18	73	3774
19	73	3611
20	74	3464
21	74	3323
22	75	3192
23	75	3072
24	75	2963
25	76	2861
26	76	2769
27	77	2681
28	77	2601
29	78	2527
30	78	2461
31	80	2438
32	81	2376
33	81	2326
34	82	2280
35	83	2225
36	83	2174
37	84	2126
38	84	2079
39	84	2038
40	85	2001
41	86	1981
42	88	1974
43	90	1965
44	90	1928
45	91	1893
46	91	1860
47	92	1827
48	92	1799
49	93	1785
50	94	1756
51	95	1741
52	96	1732
53	97	1707
54	97	1681
55	98	1656
56	98	1633
57	99	1611
58	100	1604
59	101	1582
60	101	1561
61	102	1549
62	102	1531
63	103	1512
64	103	1492
65	104	1474
66	104	1456
67	104	1438
68	105	1420
69	105	1405
70	106	1391
71	107	1383
72	107	1367
73	108	1354
74	108	1339
75	109	1334
76	110	1321
77	110	1307
78	111	1294
79	111	1281
80	111	1268
81	112	1255
82	112	1241
83	113	1232
84	114	1237
85	115	1226
86	115	1214
87	116	1208
88	117	1197
89	117	1187
90	117	1177
91	118	1170
92	119	1162
93	119	1152
94	119	1143
95	120	1133
96	120	1124
97	121	1118
98	122	1112
99	122	1104
100	123	1096
101	123	1087
102	123	1079
103	124	1071
104	125	1066
105	125	1058
106	125	1050
107	126	1042
108	126	1035
109	127	1028
110	127	1021
111	129	1024
112	129	1017
113	130	1013
114	131	1010
115	131	1003
116	131	995
117	132	988
118	132	981
119	132	975
120	133	968
121	133	961
122	133	955
123	134	949
124	135	945
125	135	940
126	136	935
127	136	930
128	137	925
129	137	919
130	137	914
131	138	911
132	139	906
133	139	901
134	139	895
135	140	894
136	141	889
137	143	893
138	143	888
139	144	885
140	144	880
141	144	874
142	145	870
143	145	865
144	146	860
145	146	856
146	146	851
147	147	847
148	148	848
149	148	843
150	149	839
151	149	835
152	150	831
153	150	827
154	150	823
155	151	818
156	151	814
157	152	810
158	152	806
159	152	802
160	152	797
161	153	793
162	153	789
163	154	785
164	154	781
165	155	778
166	155	777
167	156	773
168	158	777
169	158	774
170	159	771
171	159	769
172	160	766
173	160	762
174	161	759
175	161	757
176	162	754
